datetime,pm25,latitude,longitude,sensor_id,location_id
2026-09-06T11:00:00Z,5.6,47.681988,-122.125229,17133422,6473354
2025-12-04T00:00:00Z,0.0,-4.914723,-80.960358,8437748,2578976
2021-08-09T11:00:00Z,17.0,29.911,121.83580000000002,31737,9982
2021-08-09T11:00:00Z,10.0,22.738,114.06780000000002,29356,9556
2026-09-06T10:00:00Z,14.0,42.715280000299245,-7.449440000044521,22443,7716
2025-12-04T00:05:00Z,3.4,-9.561408,-77.083976,8437751,2578975
2026-09-06T09:00:00Z,3.3,45.75329999969274,5.072199999985248,40635,3799
2026-09-03T18:15:00Z,3.23,22.368195,82.746431,12242173,3409365
2026-08-31T14:00:00Z,0.0,-38.66538,175.924593,15246882,6212981
2026-09-06T11:00:00Z,2.7,40.86196345660962,-124.06708008112147,9720124,2914454
2026-09-06T11:00:00Z,0.0,48.011240402039554,14.396925297261548,9721536,2914675
2025-03-16T14:00:00Z,8.870833198229471,28.21795003995139,-80.7259570201707,9403078,2871295
2026-09-06T11:00:00Z,0.0,42.280405,22.758804,15251328,6213577
2026-09-06T09:00:00Z,2.0,44.5694430002562,5.27897200043165,5614,2676
2026-09-06T10:00:00Z,6.18027,52.484168000016815,13.123698000137418,23604,3096
2024-03-15T20:00:00Z,45.3,42.687073,21.158341000000004,8437776,2578981
2025-01-08T12:00:00Z,6.1,-10.750829,-76.263631,8437777,2578967
2025-01-08T12:00:00Z,8.1,-13.707724000000002,-76.193606,8437784,2578983
2021-08-09T11:00:00Z,47.0,35.7754,115.08659999999999,26886,9066
2026-09-06T11:00:00Z,0.4,48.872386,2.504768,16299562,6354360
2025-12-04T00:05:00Z,51.0,-12.012363,-76.937171,8437787,2578970
2025-12-04T00:05:00Z,36.7,-11.996141,-76.922521,8437791,2578968
2025-07-09T23:00:00Z,4.0,41.58885,-109.23784,9991917,2959755
2026-09-06T11:00:00Z,2.1,42.1281538,-77.0801609,17134382,6473486
2026-09-06T10:00:00Z,2.7,40.7269,-73.8933,1103,628
2021-08-09T11:00:00Z,5.0,29.722800000000003,106.6263,30910,9845
2021-08-09T11:00:00Z,15.0,18.3443,109.73479999999999,237299,43440
2025-12-04T00:00:00Z,-9999.0,-17.61076,-71.340649,8437797,2578974
2025-12-04T00:00:00Z,-9999.0,-17.634021,-71.335221,8437798,2578972
2024-10-07T14:27:32Z,0.0,29.67659,-95.37288,9416625,2873096
2026-09-06T10:03:58Z,4.34,29.67173,-95.36929,9416627,2873095
2025-12-04T00:00:00Z,1.8,-14.087046,-72.106363,8437736,2578980
2025-12-04T00:05:00Z,35.2,-16.487574,-71.519153,8437738,2578986
2025-12-04T00:05:00Z,5.1,-4.916988,-80.858255,8437742,2578979
2025-01-08T12:05:00Z,17.4,-7.739941,-79.183239,8437744,2578963
2025-12-04T00:05:00Z,1.2,-14.110423,-72.242785,8437745,2578965
2024-06-13T14:15:00Z,13.6,-9.999997,-76.000015,8437754,2578985
2024-10-06T12:00:00Z,2.269387756075178,40.837158255667,14.2193183372579,8433565,2577003
2025-12-04T00:05:00Z,0.0,-9.119182,-78.54401,8437761,2578982
2025-12-04T00:05:00Z,36.0,-10.79368,-76.292123,8437763,2578971
2025-01-08T12:00:00Z,7.5,-13.834835000000002,-76.141729,8437766,2578984
2025-12-04T00:05:00Z,14.7,-17.09943,-70.681922,8437767,2578987
2025-12-04T00:00:00Z,106.2,-11.985654,-76.925467,8437769,2578969
2025-12-04T00:00:00Z,-9999.0,-17.647061,-71.3248,8437771,2578973
2025-01-08T12:00:00Z,9.2,-14.008673,-72.001256,8437772,2578964
2025-12-04T00:00:00Z,0.0,-9.102904,-78.565141,8437794,2578966
2021-10-01T15:00:00Z,3.0,52.437165,-1.829999,4892,2513
2021-08-09T11:00:00Z,13.0,23.2775,116.7258,27242,9129
2026-09-06T11:00:00Z,9.2,7.570238000000001,99.58874300000001,1317584,228627
2026-09-06T10:00:00Z,1.851,-26.587334,27.841022000000002,1303620,225400
2026-09-06T11:00:00Z,1.0,-28.731301,32.039016,9988620,2959203
2026-04-02T08:00:00Z,15.8,7.158502558743491,100.6113217561578,9075461,2827394
2026-07-30T12:00:00Z,39.0,34.06586,-84.50669,15254579,6214016
2026-09-06T11:00:00Z,4.8,51.218352044676614,3.2048912311360485,9416617,2873089
2026-06-20T07:00:00Z,22.0,34.00055,-117.83166,16361099,6368288
2026-09-06T11:00:00Z,1.0,-28.744719,32.054805,9992979,2959824
2026-09-06T10:00:00Z,5.5,41.7194,-83.475,8447355,2583427
2026-07-28T21:00:00Z,16.6,35.6152942,-119.7026069,9433524,2875321
2024-04-12T22:00:00Z,29.0,37.284067,126.97989200000002,8539762,2623697
2026-09-06T10:00:00Z,5.7,41.62057,-83.64226,8449351,2584325
2026-09-06T11:00:00Z,7.0,35.59095,-78.4622,30083,9694
2026-09-06T11:00:00Z,1.4,-35.63386558517702,-59.77481854387068,9430768,2874879
2026-07-15T11:00:00Z,31.0,59.932931403229304,10.790277774001858,9992978,2959855
2026-09-06T11:00:00Z,0.1,40.36880113274254,-111.8644337511874,15255299,6214117
2026-08-06T07:00:00Z,158.5,-28.769694,32.034282,17135984,6473660
2024-11-12T03:00:00Z,2.306249996026357,-34.92483786797323,138.59364410206908,8491797,2603530
2026-09-05T14:00:00Z,16.0,41.645599999779066,-4.730300000005193,23353,8051
2026-09-06T10:00:00Z,5.0,47.592675,-122.627397,1683,917
